# engine=ironhorse features=default corpus=annexB/language/function-code tip=be13516fb6441b950ba8a3df97eb34062c186972
annexB/language/function-code/block-decl-func-block-scoping.js sloppy skip:shared-positive-test-failure
annexB/language/function-code/if-decl-else-decl-b-func-block-scoping.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-existing-block-fn-no-init.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-existing-block-fn-update.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-existing-fn-no-init.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-existing-fn-update.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-existing-var-no-init.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-existing-var-update.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-init.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-no-skip-try.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-skip-dft-param.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-skip-early-err-block.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-skip-early-err-for-in.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
annexB/language/function-code/if-decl-else-decl-b-func-skip-early-err-for-of.js sloppy fail:"error-message-differs:SyntaxError: oracle=\"SyntaxError: no block (strict code)\" ironhorse=\"SyntaxError\""
